Symbol,CompanyName,Sector,Industry,MarketCapCr,CapCategory
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,80305.0,Large Cap
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,Insurance - Life,73582.0,Large Cap
ICIL,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,8356.0,Small Cap
ICRA,ICRA Limited,Financial Services,Financial Data & Stock Exchanges,4923.0,Small Cap
IDBI,IDBI Bank Limited,Financial Services,Banks - Regional,93976.0,Large Cap
IDEA,Vodafone Idea Limited,Communication Services,Telecom Services,163706.0,Large Cap
IDFCFIRSTB,IDFC First Bank Limited,Financial Services,Banks - Regional,73535.0,Large Cap
IEX,Indian Energy Exchange Limited,Financial Services,Capital Markets,10954.0,Small Cap
IFBIND,IFB Industries Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5586.0,Small Cap
IFCI,IFCI Limited,Financial Services,Credit Services,22382.0,Mid Cap
IFGLEXPOR,IFGL Refractories Limited,Basic Materials,Building Materials,1525.0,Small Cap
IGARASHI,Igarashi Motors India Limited,Consumer Cyclical,Auto Parts,1343.0,Small Cap
IGCL,Indogulf Cropsciences Limited,Basic Materials,Agricultural Inputs,455.0,Small Cap
